Center X,Center Y,Orientation,Right,Left
71.8342482,85.01445361,126.897,0,1
71.78632697,84.96225305,117.434,0,1
71.65878613,84.88501782,123.736,0,1
71.68087228,84.86126575,123.597,0,1
72.10283807,84.25814337,118.305,0,1
71.85079172,85.08779767,104.993,0,1
71.92679257,85.12198648,114.883,0,1
71.80207489,84.983763,124.696,0,1
71.66123318,84.8877807,126.278,0,1
71.61492001,84.83021832,126.409,0,1
71.62867172,84.83875769,125.823,0,1
71.44179169,84.68037436,128.011,0,1
71.52221652,84.61422681,132.063,0,1
73.29459821,82.91350879,141.398,0,1
70.99214166,84.32305173,143.053,0,1
71.00146457,84.29751801,134.236,0,1
71.00530753,84.28548285,119.415,0,1
71.0003869,84.33860919,119.449,0,1
70.7301311,84.13020474,129.214,0,1
70.57158142,83.96082053,131.133,0,1
70.58011838,83.99607013,131.173,0,1
70.60743375,84.04172031,131.248,0,1
70.59209326,84.04506421,131.652,0,1
70.44483859,83.84890948,140.306,0,1
71.07532697,83.49302856,149.368,0,1
70.36296964,83.82409662,152.805,0,1
70.06758032,83.5655264,136.71,0,1
70.08826093,83.46383511,119.439,0,1
69.99876392,83.44263135,137.592,0,1
70.21998465,83.2572774,124.062,0,1
70.72628815,82.51438376,127.452,0,1
72.03249075,80.8446312,124.036,0,1
72.97134625,79.53481226,127.258,0,1
71.11750787,81.95061432,124.622,0,1
70.77430823,82.41022372,122.217,0,1
70.05538123,83.5172146,122.521,0,1
70.04312186,83.50976013,122.845,0,1
70.02194702,83.49099136,126.106,0,1
69.92206631,83.37144504,133.002,0,1
69.91513983,83.38409015,133.296,0,1
70.71721115,82.56180112,133.707,0,1
70.86445135,82.47228,132.035,0,1
69.99797797,83.46949106,135.758,0,1
69.94760245,83.41354639,144.682,0,1
69.56271854,83.07133279,145.691,0,1
69.53416397,82.99473404,155.238,0,1
69.19768829,82.71890427,155.394,0,1
69.0640889,82.58410184,144.895,0,1
69.01056958,82.51078189,135.298,0,1
69.03084515,82.50395667,130.458,0,1
68.99446243,82.51555304,130.434,0,1
69.00454236,82.43624445,132.537,0,1
68.87861441,82.35624393,137.733,0,1
68.92844748,82.33476291,138.546,0,1
68.81465112,82.29973511,138.629,0,1
68.85369064,82.31492853,138.594,0,1
68.82850409,82.32299536,138.505,0,1
68.7496825,82.21905231,147.78,0,1
68.6765072,82.16616705,166.59,0,1
68.88320474,82.1635874,172.618,0,1
69.91032529,82.06807281,169.785,0,1
68.40784982,81.9366842,161.767,0,1
68.62634866,81.80702661,157.368,0,1
68.36488779,81.81201715,167.772,0,1
68.72786395,81.77093561,167.725,0,1
70.02576346,81.59703339,163.844,0,1
68.12591327,81.58579382,159.056,0,1
68.14388644,81.61830466,165.719,0,1
67.80089172,81.2634122,163.852,0,1
67.69698724,81.15206049,151.619,0,1
68.06888852,81.02705591,152.382,0,1
69.87746729,80.08643805,155.473,0,1
67.75526566,81.00841492,158.789,0,1
67.57846072,81.02246558,159.863,0,1
67.57126181,80.99556729,157.261,0,1
67.49426767,80.91697714,153.549,0,1
67.21968915,80.63036588,141.125,0,1
67.23100827,80.61365601,132.8,0,1
67.2955791,80.6406893,120.487,0,1
67.31457208,80.66572638,100.806,0,1
67.27967929,80.5931731,88.023,1,0
